A- 	not, without
Lozenge	rhombus.
Lozenge	small sweet or medicinal tablet to be dissolved in the mouth.
Lozenge	lozenge-shaped object.
Lp	Long-playing
L-plate	Sign bearing the letter l, attached to a vehicle to show that it is being driven by a learner.
Lpo	London philharmonic orchestra.
Lsd	Lysergic acid diethylamide, a powerful hallucinogenic drug.
L.s.d.	hist. Pounds, shillings, and pence
L.s.d.	money, riches.
Lse	London school of economics.
Lso	London symphony orchestra.
Lt.	lieutenant.
Lt.	light.
Ltd.	Limited.
Lu	Lutetium.
Lubber	Clumsy fellow, lout.
Lubricant	Substance used to reduce friction.
Lubricate	apply oil or grease etc. To.
Lubricate	make slippery.
Lubricate	Lubricator
Lubricious	slippery, evasive.
Lubricious	lewd.
Lucid	expressing or expressed clearly.
Lucid	sane.
Lucid	Lucidly
Lucid	Lucidness
Lucifer	Satan.
Luck	good or bad fortune.
Luck	circumstances of life
Luck	brought by this.
Luck	good fortune; success due to chance
Luck	Unfortunately not.
Luckless	Unlucky; ending in failure.
Lucky	having or resulting from good luck.
Lucky	bringing good luck
Lucky dip	Tub containing articles varying in value and chosen at random.
Lucrative	Profitable.
Lucrative	Lucrativeness
Lucre	Derog. Financial gain.
Luddite	person opposed to industrial progress or new technology.
Luddite	hist. Member of a band of english artisans who destroyed machinery
Luddite	Of the luddites.
Ludicrous	Absurd, ridiculous, laughable.
Ludicrous	Ludicrousness
Ludo	Simple board-game played with dice and counters.
Luff	steer
Luff	nearer the wind.
Luff	raise or lower
Lug	drag or carry with effort.
Lug	pull hard.
Lug	hard or rough pull.
Lug	Ear.
Lug	projection on an object by which it may be carried, fixed in place, etc.
Luggage	Suitcases, bags, etc., for a traveller's belongings.
Lugger	Small ship with four-cornered sails.
Lughole	ear.
Lugsail	Four-cornered sail on a yard.
Lugubrious	Doleful.
Lugubrious	Lugubriousness
Lugworm	Large marine worm used as bait.
Lukewarm	moderately warm; tepid.
Lukewarm	unenthusiastic, indifferent.
Lull	soothe or send to sleep.
Lull	deceive
Lull	into undue confidence
Lull	allay
Lull	, usu. By deception.
Lull	Abate or fall quiet.
Lull	Temporary quiet period.
Lullaby	soothing song to send a child to sleep.
Lumbago	Rheumatic pain in the muscles of the lower back.
Lumbar	Of the lower back area.
Lumbar puncture	Withdrawal of spinal fluid from the lower back for diagnosis.
Lumber	disused and cumbersome articles.
Lumber	partly prepared timber.
Lumber	leave
Lumber	With something unwanted or unpleasant.
Lumber	obstruct, fill inconveniently.
Lumber	cut and prepare forest timber.
Lumber	move in a slow clumsy way.
Lumberjack	Person who fells and transports lumber.
Lumber-jacket	Jacket of the kind worn by lumberjacks.
Lumber-room	Room where disused things are kept.
Luminary	literary natural light-giving body.
Luminary	wise or inspiring person.
Luminary	celebrated member of a group
Luminescence	Emission of light without heat.
Luminous	shedding light.
Luminous	phosphorescent, visible in darkness
Lump1	compact shapeless mass.
Lump1	tumour; swelling, bruise.
Lump1	heavy, dull, or ungainly person.
Lump1	casual workers in the building trade.
Lump1	Treat as all alike; put together in a lump.
Lump1	Become lumpy.
Lump2	Put up with ungraciously
Lumpectomy	surgical removal of a lump from the breast.
Lumpish	heavy and clumsy.
Lumpish	stupid, lethargic.
Lump sugar	Sugar in cubes.
Lump sum	sum covering a number of items.
Lump sum	money paid down at once.
Lumpy	full of or covered with lumps.
Lumpy	Lumpiness
Lunacy	insanity.
Lunacy	mental unsoundness.
Lunacy	great folly.
Lunar	Of, like, concerned with, or determined by the moon.
Lunar module	Small craft for travelling between the moon and a spacecraft in orbit around it.
Lunar month	period of the moon's revolution, esp. The interval between new moons (about
Lunar month	91/2 days).
Lunar month	four weeks.
Lunate	Crescent-shaped.
Lunatic	insane person.
Lunatic	wildly foolish person.
Lunatic	Insane; extremely reckless or foolish.
Lunatic asylum	Hist. Mental home or hospital.
Lunatic fringe	Extreme or eccentric minority group.
Lunation	Interval between new moons, about
Lunation	91/2 days.
Lunch	Midday meal.
Lunch	take lunch.
Lunch	entertain to lunch.
Luncheon	Formal lunch.
Luncheon meat	Tinned meat loaf of pork etc.
Luncheon voucher	Voucher issued to employees and exchangeable for food at many restaurants and shops.
Lung	Either of the pair of respiratory organs in humans and many other vertebrates.
Lunge	sudden movement forward.
Lunge	the basic attacking move in fencing.
Lunge	long rope on which a horse is held and made to circle round its trainer.
Lunge	deliver or make a lunge.
Lupin	Cultivated plant with long tapering spikes of flowers.
Lupine	Of or like wolves.
Lupus	Autoimmune inflammatory skin disease.
Lurch1	Stagger; sudden unsteady movement or leaning.
Lurch1	Stagger; move or progress unsteadily.
Lurcher	Crossbred dog, usu.
Lurcher	working dog crossed with a greyhound.
Lure	entice.
Lure	recall with a lure.
Lure	thing used to entice.
Lure	enticing quality
Lure	falconer's apparatus for recalling a hawk.
Lurex	Propr.
Lurex	type of yarn incorporating a glittering metallic thread.
Lurex	fabric made from this.
Lurid	bright and glaring in colour.
Lurid	sensational, shocking
Lurid	ghastly, wan
Lurk	linger furtively.
Lurk	a lie in ambush.
Lurk	Hide, esp. For sinister purposes.
Lurk	(as lurking
Lurk	) Dormant
Luscious	richly sweet in taste or smell.
Luscious	over-rich.
Luscious	voluptuously attractive.
Lush1	luxuriant and succulent.
Lush1	luxurious.
Lush1	excellent.
Lush2	alcoholic, drunkard.
Lust	strong sexual desire.
Lust	passionate desire for or enjoyment of
Lust	sensuous appetite regarded as sinful
Lust	have a strong or excessive
Lust	desire.
Lust	Lustfully
Luster	gloss, shining surface.
Luster	brilliance, splendour.
Luster	iridescent glaze on pottery and porcelain.
Lustre	gloss, shining surface.
Lustre	brilliance, splendour.
Lustre	iridescent glaze on pottery and porcelain.
Lusty	healthy and strong.
Lusty	vigorous, lively.
Lusty	Lustiness
Lute1	Guitar-like instrument with a long neck and a pear-shaped body.
Lute2	Clay or cement for making joints airtight etc.
Lute2	apply lute to.
Lutenist	lute-player.
Lutetium	Silvery metallic element, the heaviest of the lanthanide series.
Lutheran	follower of luther.
Lutheran	member of the lutheran church.
Lutheran	Of luther, or the protestant reformation and the doctrines associated with him.
Lux	the si unit of illumination.
Luxuriant	growing profusely.
Luxuriant	exuberant.
Luxuriant	florid.
Luxuriant	Luxuriantly
Luxuriate	take self-indulgent delight in, enjoy as a luxury.
Luxuriate	relax in comfort.
Luxurious	supplied with luxuries.
Luxurious	extremely comfortable.
Luxurious	fond of luxury.
Luxury	choice or costly surroundings, possessions, etc.
Luxury	thing giving comfort or enjoyment but not essential.
Luxury	Comfortable and expensive
Lv	Luncheon voucher.
Lw	Lawrencium.
-ly1	forming adjectives, esp. From nouns, meaning:
-ly1	having the qualities of
-ly1	recurring at intervals of
-ly2	forming adverbs from adjectives
Lychee	sweet white juicy fruit in a brown skin.
Lychee	tree, orig. From china, bearing this.
Lycra	Propr. Elastic polyurethane fabric used esp. For sportswear.
Lye	water made alkaline with wood ashes.
Lye	any alkaline solution for washing.
Lymph	colourless fluid from the tissues of the body, containing white blood cells.
Lymph	this fluid used as a vaccine.
Lymphatic	of, secreting, or conveying lymph.
Lymphatic	pale, flabby, or sluggish.
Lymphatic system	Network of vessels conveying lymph.
Lymph gland	small mass of tissue in the lymphatic system.
Lymphoma	tumour of the lymph nodes.
Lynch	put
Lynch	to death without a legal trial.
Lynch law	Procedure followed when a person is lynched.
Lynx	wild cat with a short tail and spotted fur.
Lynx-eyed	Keen-sighted.
Lyre	Ancient u-shaped stringed instrument.
Lyre-bird	Australian bird, the male of which has a lyre-shaped tail display.
Lyric	expressing the writer's emotions, usu. Briefly and in stanzas.
Lyric	writing in this manner.
Lyric	meant or fit to be sung, songlike.
Lyric	lyric poem.
Lyric	(in
Lyric	) Words of a song.
Lyrical	resembling, or using language appropriate to, lyric poetry.
Lyrical	Highly enthusiastic
Lyricism	Quality of being lyric.
Lyricist	Writer of
Lyricist	lyrics.
-lysis	Form forming nouns denoting disintegration or decomposition
-lyte	forming nouns denoting substances that can be decomposed
M1	thirteenth letter of the alphabet.
M1	,000.
M2	master.
M2	monsieur.
M2	motorway.
M2	mega-.
M	male.
M	masculine.
M	married.
M	mile
M	metre
M	million
M	minute
M	milli-.
Ma	Master of arts.
Ma	Mother.
Ma'am	Madam
Ma'am	.
Mac	Mackintosh.
Macabre	Grim, gruesome.
Macadam	broken stone as material for road-making.
Macadamia	Edible seed of an australian tree.
Macaque	kind of monkey, e.g. The rhesus monkey and barbary ape, with prominent cheek-pouches.
Macaroni	Small pasta tubes.
Macaroon	Small almond cake or biscuit.
Macaw	Long-tailed brightly coloured american parrot.
Mccarthyism	Hist. Hunting out and sacking of communists in the us.
Mccoy	The real thing; the genuine article.
Mace1	staff of office, esp. Symbol of the speaker's authority in the house of commons.
Mace1	person bearing this.
Mace2	Dried outer covering of the nutmeg as a spice.
Macédoine	Mixed vegetables or fruit, esp. Diced or jellied.
Macerate	soften by soaking.
Macerate	waste away by fasting.
Mach	ratio of the speed of a body to the speed of sound in the surrounding medium.
Machete	Broad heavy knife, esp. Of central america.
Machiavellian	Elaborately cunning; scheming, unscrupulous.
Machination	(usu. In
Machination	) Plot, intrigue.
Machine	apparatus for applying mechanical power, having several interrelated parts.
Machine	particular machine, esp.
Machine	vehicle or an electrical or electronic apparatus.
Machine	controlling system of an organization etc.
Machine	person who acts mechanically.
Machine	(esp. In
Machine	) Mechanical dispenser with slots for coins
Machine	make or operate on with a machine.
Machine code	computer language for a particular computer.
Machine-gun	Automatic gun giving continuous fire.
Machine-gun	shoot at with a machine-gun.
Machine-readable	In a form that a computer can process.
Machinery	machines.
Machinery	mechanism.
Machinery	organized system.
Machinery	means devised.
Machine tool	Mechanically operated tool.
Machinist	person who operates a machine, esp.
Machinist	sewing-machine or a machine tool.
Machinist	person who makes machinery.
Machismo	Being macho; masculine pride.
Macho	Aggressively masculine.
Mach one	The speed
Mach one	of sound.
Mackerel	marine fish used as food.
Mackerel sky	Sky dappled with rows of small white fleecy clouds.
Mackintosh	waterproof coat or cloak.
Mackintosh	cloth waterproofed with rubber.
Macramé	art of knotting cord or string in patterns to make decorative articles.
Macramé	work so made.
Macro-	Form
Macro-	long.
Macro-	large, large-scale.
Macrobiotic	Of a diet intended to prolong life, esp. Consisting of wholefoods.
Macrobiotic	(in
Macrobiotic	; treated as sing.) Theory of such a diet.
Macrocarpa	Evergreen tree, often cultivated for hedges or wind-breaks.
Macrocosm	universe.
Macrocosm	the whole of a complex structure.
Macroeconomics	The study of the economy as a whole.
Macron	Mark
Macron	over a long or stressed vowel.
Macroscopic	visible to the naked eye.
Macroscopic	regarded in terms of large units.
Macula	dark, esp. Permanent, spot in the skin.
Mad	insane; frenzied.
Mad	wildly foolish.
Mad	Wildly excited or infatuated.
Mad	Angry.
Mad	rabid.
Mad	wildly light-hearted.
Mad	With great energy or enthusiasm.
Madam	polite or respectful form of address or mode of reference to a woman.
Madam	Conceited or precocious girl or young woman.
Madam	woman brothel-keeper.
Madame	mrs or madam
Madcap	Wildly impulsive.
Madcap	Wildly impulsive person.
Madden	make or become mad.
Madden	irritate.
Madden	Maddeningly
Madder	herbaceous plant with yellowish flowers.
Madder	a red dye from its root.
Madder	its synthetic substitute.
Madeira	fortified white wine from madeira.
Madeira	a kind of sponge cake.
Mademoiselle	miss or madam
Mademoiselle	a young frenchwoman.
Mademoiselle	french governess.
Made to measure	Tailor-made.
Madhouse	Scene of confused uproar.
Madhouse	mental home or hospital.
Madly	in a mad manner.
Madly	passionately.
Madly	extremely.
Madman	Man who is mad.
Madonna	the virgin mary.
Madonna	picture or statue of her.
Madrigal	Part-song, usu. Unaccompanied, for several voices.
Madwoman	Woman who is mad.
Maelstrom	great whirlpool.
Maelstrom	state of confusion.
Maenad	bacchante.
Maenad	frenzied woman.
Maestro	distinguished musician, esp.
Maestro	conductor, composer, or teacher.
Maestro	great performer in any sphere.
Mae west	inflatable life-jacket.
Mafia	organized body of criminals, orig. In sicily, now also in italy and the us.
Mafia	group regarded as exerting an intimidating and corrupt power.
Mafioso	member of the mafia.
Magazine	illustrated periodical publication containing articles, stories, etc.
Magazine	chamber holding cartridges to be fed automatically to the breech of a gun.
Magazine	similar device in a slide projector etc.
Magazine	military store for arms etc.
Magazine	store for explosives.
Magenta	shade of crimson.
Magenta	aniline crimson dye.
Magenta	Of or coloured with magenta.
Maggot	Larva, esp. Of the housefly or bluebottle.
Magi	Of *magus.
Magic	a supposed art of influencing or controlling events supernaturally.
Magic	witchcraft.
Magic	conjuring tricks.
Magic	inexplicable influence.
Magic	enchanting quality or phenomenon.
Magic	of magic.
Magic	producing surprising results.
Magic	Wonderful, exciting.
Magic	change or create by or as if by magic.
Magical	of magic.
Magical	resembling, or produced as if by, magic.
Magical	wonderful, enchanting.
Magic eye	Photoelectric device used for detection, automatic control, etc.
Magician	person skilled in magic.
Magician	conjuror.
Magic lantern	Primitive form of slide projector.
Magisterial	imperious.
Magisterial	authoritative.
Magisterial	of a magistrate.
Magistracy	magisterial office.
Magistracy	magistrates collectively.
Magistrate	civil officer administering the law.
Magistrate	official conducting a court for minor cases and preliminary hearings.
Magma	molten rock under the earth's crust, from which igneous rock is formed by cooling.
Magna carta	charter of liberty obtained from king john in
Magna carta	215.
Magnanimous	Nobly generous; not petty in feelings or conduct.
Magnanimous	Magnanimously
Magnate	Wealthy and influential person, usu. In business.
Magnesia	magnesium oxide.
Magnesia	hydrated magnesium carbonate, used as an antacid and laxative.
Magnesium	Silvery metallic element.
Magnet	piece of iron, steel, alloy, ore, etc., having the properties of attracting iron and of pointing approximately north and south when suspended.
Magnet	lodestone.
Magnet	person or thing that attracts.
Magnetic	a having the properties of a magnet.
Magnetic	produced or acting by magnetism.
Magnetic	capable of being attracted by or acquiring the properties of a magnet.
Magnetic	strongly attractive
Magnetic field	Area of force around a magnet.
Magnetic mine	Underwater mine detonated by the approach of a large mass of metal, e.g.
Magnetic mine	ship.
Magnetic needle	Piece of magnetized steel used as an indicator on the dial of a compass etc.
Magnetic north	Point indicated by the north end of a magnetic needle.
Magnetic pole	Point near the north or south pole where a magnetic needle dips vertically.
Magnetic storm	Disturbance of the earth's magnetic field by charged particles from the sun etc.
Magnetic tape	Plastic strip coated with magnetic material for recording sound or pictures.
Magnetism	a magnetic phenomena and their science.
Magnetism	property of producing these.
Magnetism	attraction; personal charm.
Magnetize	give magnetic properties to.
Magnetize	make into a magnet.
Magnetize	attract as a magnet does.
Magnetize	Magnetization
Magneto	electric generator using permanent magnets
Magnificat	Hymn of the virgin mary used as a canticle.
Magnification	magnifying or being magnified.
Magnification	degree of this.
Magnificent	splendid, stately.
Magnificent	Fine, excellent.
Magnificent	Magnificently
Magnify	make
Magnify	appear larger than it is, as with a lens.
Magnify	exaggerate.
Magnify	intensify.
Magnify	extol.
Magnify	Magnifier
Magnifying glass	Lens used to magnify.
Magnitude	largeness.
Magnitude	size.
Magnitude	importance.
Magnitude	a degree of brightness of a star.
Magnitude	class of stars arranged according to this
Magnolia	tree with dark-green foliage and waxy flowers.
Magnolia	creamy-pink colour.
Magnox	Magnesium-based alloy used to enclose uranium fuel elements in some nuclear reactors.
Magnum	wine bottle twice the normal size.
Magnum opus	Great work of art, literature, etc., esp. An artist's most important work.
Magpie	a kind of crow with a long tail and black and white plumage.
Magpie	chatterer.
Magpie	indiscriminate collector.
Magus	priest of ancient persia.
Magus	sorcerer.
Magus	the ‘wise men’ from the east (matt.
Magus	:1–12).
Magyar	member of the chief ethnic group in hungary.
Magyar	their language.
Magyar	Of this people.
Maharaja	hist. Title of some indian princes.
Maharanee	hist. Maharaja's wife or widow.
Maharishi	great hindu sage.
Mahatma	Revered person.
Mahatma	one of a class of persons supposed by some buddhists to have preternatural powers.
Mah-jong	game played with
Mah-jong	36 or
Mah-jong	44 pieces called tiles.
Mahogany	reddish-brown tropical wood used for furniture.
Mahogany	its colour.
Mahonia	Evergreen shrub with yellow bell-shaped flowers.
Mahout	Elephant-driver.
Maid	female servant.
Maid	or poet. Girl, young woman.
Maiden	or poet. Girl; young unmarried woman.
Maiden	Unmarried
Maiden	unmated.
Maiden	(often
Maiden	horse that has never won a race.
Maiden	race open only to such horses.
Maiden	First
Maiden	Maidenly
Maidenhair	Fern with hairlike stalks and delicate fronds.
Maidenhead	virginity.
Maidenhead	hymen.
Maiden name	Woman's surname before marriage.
Maiden over	Over in cricket in which no runs are scored.
Maid of honour	unmarried lady attending a queen or princess.
Maid of honour	esp. Us principal bridesmaid.
Maidservant	Female servant.
Mail1	a letters and parcels etc. Carried by post.
Mail1	postal system.
Mail1	one complete delivery or collection of mail.
Mail1	email.
Mail1	vehicle carrying mail.
Mail1	Send by post or email.
Mail2	Armour of metal rings or plates.
Mailbag	Large sack for carrying mail.
Mailbox	Us letter-box.
Mailing list	List of people to whom advertising matter etc. Is posted.
Mail order	Purchase of goods by post.
Mailshot	Advertising material sent to potential customers.
Maim	Cripple, disable, mutilate.
Main	chief, principal.
Main	exerted to the full
Main	principal duct etc. For water, sewage, etc.
Main	(usu. In
Main	; prec. By the) a central distribution network for electricity, gas, water, etc.
Main	domestic electricity supply as distinct from batteries.
Main	poet. High seas
Main brace	Brace attached to the main yard.
Main chance	one's own interests.
Mainframe	central processing unit of a large computer.
Mainframe	(often
Mainframe	) Large computer system.
Mainland	Large continuous extent of land, excluding neighbouring islands.
Mainline	take drugs intravenously.
Mainline	inject
Mainline	intravenously.
Main line	Railway line linking large cities.
Mainly	Mostly; chiefly.
Mainmast	Principal mast of a ship.
Mainsail	lowest sail on the mainmast.
Mainsail	sail set on the after part of the mainmast.
Mainspring	principal spring of a watch, clock, etc.
Mainspring	chief motivating force; incentive.
Mainstay	chief support.
Mainstay	stay from the maintop to the foot of the foremast.
Mainstream	(often
Mainstream	) Ultimately prevailing trend in opinion, fashion, etc.
Mainstream	type of swing jazz, esp. With solo improvisation.
Mainstream	principal current of a river etc.
Maintain	cause to continue; keep up
Maintain	support by work, expenditure, etc.
Maintain	assert as true.
Maintain	preserve
Maintain	In good repair.
Maintain	provide means for.
Maintained school	School supported from public funds, state school.
Maintenance	maintaining or being maintained.
Maintenance	a provision of the means to support life.
Maintenance	alimony.
Maintop	Platform above the head of the lower mainmast.
Maintopmast	Mast above the head of the lower mainmast.
Main yard	Yard on which the mainsail is extended.
Maiolica	white tin-glazed earthenware decorated with metallic colours or enamelled.
Maisonette	flat on more than one floor.
Maisonette	small house.
Maize	cereal plant of
Maize	America.
Maize	cobs or grain of this.
Maj.	Major.
Majestic	Stately and dignified; imposing.
Majesty	stateliness, dignity, or authority, esp. Of bearing, language, etc.
Majesty	a royal power.
Majesty	forms of description or address for a sovereign or a sovereign's wife or widow
Major	relatively great in size, intensity, scope, or importance.
Major	serious.
Major	having intervals of a semitone above its third and seventh notes.
Major	greater by a semitone than a minor interval
Major	based on a major scale.
Major	of full legal age.
Major	a army officer next below lieutenant-colonel.
Major	officer in charge of a band section
Major	person of full legal age.
Major	us a student's main subject or course.
Major	student of this.
Major	us study or qualify in
Major	as one's main subject.
Major-domo	chief steward of a great household.
Major-general	Officer next below a lieutenant-general.
Majority	greater number or part.
Majority	a number of votes by which a candidate wins.
Majority	party etc. Receiving the greater number of votes.
Majority	full legal age.
Majority	rank of major.
Majority rule	Principle that the greater number should exercise the greater power.
Make	(-king; past and
Make	Made)
Make	construct; create; form from parts or other substances.
Make	cause or compel
Make	a cause to exist; bring about
Make	cause to become or seem
Make	compose; prepare; write
Make	constitute; amount to; be reckoned as (2 and
Make	make
Make	a undertake
Make	perform
Make	gain, acquire, procure
Make	prepare
Make	a arrange
Make	for use.
Make	arrange and light materials for
Make	0 a proceed
Make	Act as if with the intention to
Make	arrive at
Make	or in time for
Make	manage to attend; manage to attend on
Make	or at
Make	achieve a place in
Make	2 establish or enact
Make	3 consider to be; estimate as
Make	4 secure the success or advancement of
Make-believe	Pretence.
Make-believe	Pretended.
Maker	person who makes.
Maker	god.
Makeshift	Temporary.
Makeshift	Temporary substitute or device.
Make-up	cosmetics, as used generally or by actors.
Make-up	character, temperament, etc.
Make-up	composition
Makeweight	small quantity added to make up the weight.
Makeweight	person or thing supplying a deficiency.
Making	(in
Making	earnings; profit.
Making	essential qualities or ingredients
Mal-	Form
Mal-	a bad, badly
Mal-	faulty
Mal-	not
Malachite	Green mineral used for ornament.
Maladjusted	unable to adapt to or cope with the demands of a social environment.
Maladminister	Manage badly or improperly.
Maladroit	Clumsy; bungling.
Malady	ailment, disease.
Malaise	general bodily discomfort or lassitude.
Malaise	feeling of unease or demoralization.
Malapropism	Comical misuse of a word in mistake for one sounding similar, e.g. Alligator for allegory.
Malaria	Recurrent fever caused by a parasite transmitted by a mosquito bite.
Malarkey	Humbug; nonsense.
Malay	member of a people predominating in malaysia and indonesia.
Malay	their language.
Malay	Of this people or language.
Malcontent	Discontented person.
Malcontent	Discontented.
Male	of the sex that can beget offspring by fertilization.
Male	of men or male animals, plants, etc.; masculine.
Male	containing stamens but no pistil.
Male	Designed to enter or fill the corresponding hollow part
Male	Male person or animal.
Malediction	curse.
Malediction	utterance of a curse.
Malefactor	Criminal; evil-doer.
Male menopause	Crisis of potency, confidence, etc., supposed to afflict some men in middle life.
Malevolent	Wishing evil to others.
Malevolent	Malevolently
Malfeasance	Formal misconduct, esp. In an official capacity.
Malformation	Faulty formation.
Malfunction	Failure to function normally.
Malfunction	Fail to function normally.
Malice	desire to harm or cause difficulty to others; ill-will.
Malice	law harmful intent.
Malice aforethought	Law intention to commit a crime, esp. Murder.
Malicious	Given to or arising from malice.
Malign	injurious.
Malign	malignant.
Malign	malevolent.
Malign	Speak ill of; slander.
Malignant	a
Malignant	very virulent or infectious.
Malignant	spreading or recurring; cancerous.
Malignant	harmful; feeling or showing intense ill-will.
Malignant	Malignantly
Malinger	Pretend to be ill, esp. To escape work.
Mall	sheltered walk or promenade.
Mall	shopping precinct.
Mallard	a kind of wild duck.
Malleable	That can be shaped by hammering.
Malleable	easily influenced; pliable.
Malleable	Malleably
Mallet	hammer, usu. Of wood.
Mallet	implement for striking a croquet or polo ball.
Mallow	Plant with hairy stems and leaves and pink or purple flowers.
Malmsey	strong sweet wine.
Malnourished	Suffering from malnutrition.
Malnutrition	Condition resulting from the lack of foods necessary for health.
Malodorous	Evil-smelling.
Malpractice	Improper, negligent, or criminal professional conduct.
Malt	barley, or other grain, steeped, germinated, and dried, for brewing etc.
Malt	Malt whisky; malt liquor.
Malt	Convert
Malt	into malt.
Malted milk	Drink made from dried milk and extract of malt.
Maltese	native or language of malta.
Maltese	Of malta.
Maltese cross	Cross with the arms broadening outwards, often indented at the ends.
Malthusian	Of malthus's doctrine that the population should be restricted so as to prevent an increase beyond its means of subsistence.
Maltose	Sugar made from starch by enzymes in malt, saliva, etc.
Maltreat	Ill-treat.
Malt whisky	Whisky made solely from malted barley.
Mama	mother.
Mamba	Venomous african snake.
Mambo	latin american dance like the rumba.
Mammal	Warm-blooded vertebrate of the class secreting milk to feed its young.
Mammary	Of the breasts.
Mammogram	Image obtained by mammography.
Mammography	X-ray technique for screening the breasts for tumours etc.
Mammon	Wealth regarded as a god or evil influence.
Mammoth	Large extinct elephant with a hairy coat and curved tusks.
Mammoth	Huge.
Man	adult human male.
Man	a human being; person.
Man	the human race.
Man	a workman
Man	manservant, valet.
Man	(usu. In
Man	) Soldiers, sailors, etc., esp. Non-officers.
Man	suitable or appropriate person; expert
Man	a husband
Man	Boyfriend, lover.
Man	human being of a specified type or historical period
Man	piece in chess, draughts, etc.
Man	As a form of address.
Man	0 person pursued; opponent
Man	supply with a person or people for work or defence.
Man	work, service, or defend
Man	fill
Man about town	Fashionable socializer.
Manacle	(usu. In
Manacle	fetter for the hand; handcuff.
Manacle	restraint.
Manacle	fetter with manacles.
Manage	organize; regulate; be in charge of.
Manage	succeed in achieving; contrive
Manage	succeed with limited resources etc.; be able to cope.
Manage	succeed in controlling.
Manage	cope with
Manage	be free to attend on or at
Manage	use or wield
Management	managing or being managed.
Management	a administration of business or public undertakings.
Management	people engaged in this, esp. Those controlling a workforce.
Manager	person controlling or administering a business or part of a business.
Manager	person controlling the affairs, training, etc. Of a person or team in sports, entertainment, etc.
Manager	person of a specified level of skill in household or financial affairs etc.
Manageress	Woman manager, esp. Of a shop, hotel, etc.
Managing director	Director with executive control or authority.
Mañana	Tomorrow
Mañana	Indefinite future.
Man-at-arms	soldier.
Manatee	Large aquatic plant-eating mammal.
Mancunian	Native of manchester.
Mancunian	Of manchester.
Mandala	Circular figure as a religious symbol of the universe.
Mandamus	Judicial writ issued as a command to an inferior court, or ordering a person to perform a public or statutory duty.
Mandarin	official language of china.
Mandarin	hist. Chinese official.
Mandarin	powerful person, esp.
Mandarin	top civil servant.
Mandate	official command or instruction.
Mandate	authority given by electors to a government, trade union, etc.
Mandate	authority to act for another.
Mandate	instruct
Mandate	how to act or vote.
Mandatory	compulsory.
Mandatory	of or conveying a command.
Mandible	jaw, esp. The lower jaw in mammals and fishes.
Mandible	upper or lower part of a bird's beak.
Mandible	either half of the crushing organ in the mouth-parts of an insect etc.
Mandolin	kind of lute with paired metal strings plucked with a plectrum.
Mandrake	Poisonous narcotic plant with large yellow fruit.
Mandrel	lathe-shaft to which work is fixed while being turned.
Mandrel	cylindrical rod round which metal or other material is forged or shaped.
Mandrill	Large w. African baboon.
Mane	long hair on the neck of a horse, lion, etc.
Mane	Person's long hair.
Manège	riding-school.
Manège	movements of a trained horse.
Manège	horsemanship.
Maneuver	planned and controlled movement of a vehicle or body of troops etc.
Maneuver	(in
Maneuver	) Large-scale exercise of troops, ships, etc.
Maneuver	agile or skilful movement.
Maneuver	artful plan.
Maneuver	move (a thing, esp.
Maneuver	vehicle) carefully.
Maneuver	perform or cause
Maneuver	To perform manoeuvres.
Maneuver	Manipulate
Maneuver	By scheming or adroitness.
Maneuver	use artifice.
Maneuver	Manoeuvrability
Man friday	Male helper or follower.
Manful	Brave; resolute.
Manganese	grey brittle metallic element.
Manganese	black mineral oxide of this used in glass-making etc.
Mange	Skin disease in hairy and woolly animals.
Mangel-wurzel	large beet used as cattle food.
Manger	Box or trough for horses or cattle to feed from.
Mange-tout	kind of pea eaten in the pod.
Mangle1	Machine of two or more cylinders for squeezing water from and pressing wet clothes.
Mangle1	press
Mangle1	In a mangle.
Mangle2	hack or mutilate by blows.
Mangle2	spoil
Mangle2	By gross blunders.
Mangle2	cut roughly so as to disfigure.
Mango	tropical fruit with yellowish flesh.
Mango	tree bearing this.
Mangrove	Tropical tree or shrub growing in shore-mud with many tangled roots above ground.
Mangy	having mange.
Mangy	squalid; shabby.
Manhandle	Handle
Manhandle	roughly.
Manhandle	move by human effort.
Manhole	Covered opening in a pavement, sewer, etc. For workmen to gain access.
Manhood	state of being a man.
Manhood	a manliness; courage.
Manhood	a man's sexual potency.
Manhood	men of a country etc.
Man-hour	Work done by one person in one hour.
Manhunt	Organized search for a person, esp.
Manhunt	criminal.
Mania	mental illness marked by excitement and violence.
Mania	excessive enthusiasm; obsession.
-mania	Form
-mania	denoting a special type of mental disorder
-mania	denoting enthusiasm or admiration
Maniac	Person behaving wildly
Maniac	Obsessive enthusiast.
Maniac	person suffering from mania.
Maniac	Of or behaving like a maniac.
Maniac	Maniacally
-maniac	Form forming adjectives and nouns meaning ‘affected with -mania’ or ‘a person affected with -mania’
Manic	of or affected by mania.
Manic	Wildly excited; frenzied; excitable.
Manic-depressive	Relating to a mental disorder with alternating periods of elation and depression.
Manic-depressive	Person with such a disorder.
Manicure	Cosmetic treatment of the hands and fingernails.
Manicure	give a manicure to
Manifest	Clear or obvious to the eye or mind.
Manifest	show
Manifest	by one's acts etc.
Manifest	show plainly to the eye or mind.
Manifest	be evidence of; prove.
Manifest	refl.
Manifest	reveal itself.
Manifest	appear.
Manifest	Cargo or passenger list.
Manifest	Manifestly
Manifesto	declaration of policies, esp. By a political party.
